Li 0.03340 0.32503  7.750 0.737 5.4900
Na 0.01596 0.29114 10.13094 1.30218 6.9921
K  0.02054 0.26259 10.580 1.340 8.2530
Rb 0.01946 0.24654 10.480 1.400 8.8100
Cs 0.02054 0.24218  9.620 1.450 9.4400

Zn 0.14770 0.89000 9.6890 4.602 5.4798
Cd 0.14200 0.81170 10.612 5.206 6.1818
Mg 0.02900 0.49920 12.820 2.257 5.9785
Al 0.12210 1.31600 8.6120 2.516 2.8637
Pb 0.09800 0.91400 9.5760 3.648 6.6157

Ni 0.03760 1.07000 16.999 1.189 2.4911
Ir 0.11560 2.28900 16.980 2.691 5.1298
Pd 0.17460 1.71800 10.867 3.742 5.1940
Pt 0.29750 2.69500 10.612 4.004 5.2434
Rh 0.06290 1.66000 18.450 1.867 5.0817
V  0.6124  2.44100 5.206  1.22  5.7334
Zr 0.179364 2.2014548 9.3 2.1 5.9987 

Ag 0.10310 1.18950 10.850 3.180 2.89
Au 0.20610 1.79000 10.229 4.036 2.884
Cu 0.08940 1.27990 10.550 2.430 2.56
Ti 0.0741  1.4163  11.418 1.643 0
V  0.61240 2.44100 5.2060 1.220 5.73343 

AN 0.0563  1.2349  14.997 1.2823 2.5222
NA 0.0563  1.2349  14.997 1.2823 2.5222
CA 0.0977  1.2275  10.70  2.805 2.725
AC 0.0977  1.2275  10.70  2.805 2.725
end 0 0 0 0 0
*  epsilon   zeta    p     q    rzero
* You can write down some information:
*-------------------------------------
* Quick Reference:
* Li,Na,K,Rb,Cs
* Zn,Cd,Mg,Al,Pb
* Ni,Ir,Pd,Pt,Rh
* Ag,Au,Cu,Ti V
* Al-Ni
* Cu-Ag
Cu-Au 0.1539 1.5605 11.050 3.0475 2.556
